ID,length,height,bodyAngle,wheelAngle,headAngle,time
375,3719,266,287,368,539,2
378,2838,263,612,79,181,2
379,2215,441,198,93,134,1
383,2613,445,64,48,200,1
390,2981,319,551,264,88,2
392,2922,494,159,17,85,1
393,3568,329,306,289,543,2
394,3664,493,678,108,277,1
395,2660,331,128,217,493,2
397,3369,325,716,83,175,2
399,3369,324,716,83,172,4
404,3477,459,413,361,439,1
409,3393,324,698,317,604,2
411,3074,182,555,2,24,1
414,3074,182,555,2,24,2
418,2770,329,606,28,230,1
419,3455,260,331,372,481,2
420,3454,263,331,371,483,2
421,3477,456,413,361,434,1
422,2704,233,555,4,24,1
423,2705,230,558,8,28,3
424,2705,227,558,9,28,1
425,2705,228,555,6,28,1
427,2770,329,618,20,223,1
428,3571,435,365,59,215,2
429,3571,436,359,63,209,1
430,3055,327,174,357,527,2
434,2423,452,235,14,105,1
436,3572,433,362,59,214,1
437,3055,327,166,370,539,2
440,3572,428,365,59,214,2
9399,4312,265,71,71,127,1
453,3542,330,582,95,260,1
462,3732,265,289,88,563,2
464,3732,267,291,88,566,2
470,3143,495,285,72,213,1
471,2850,493,554,38,75,1
474,2772,323,507,182,364,2
477,2752,258,639,168,215,3
481,3143,494,281,82,202,1
482,2850,490,553,33,77,1
483,2851,487,554,36,73,1
484,3145,491,290,72,213,1
486,3145,488,290,72,213,1
488,3132,262,174,588,517,2
489,2851,484,552,33,77,2
491,2587,320,219,84,484,2
492,2587,320,219,84,484,2
493,2625,324,725,34,138,2
496,4055,335,51,77,113,1
497,4055,337,51,78,113,1
498,4055,338,51,78,113,1
499,4055,340,52,77,113,1
500,2886,261,439,36,116,2
501,4055,337,51,77,113,1
14925,3868,250,55,566,745,1
12317,2663,317,118,250,501,1
504,2878,358,738,14,158,1
10650,2739,245,680,116,93,1
507,4055,336,56,81,112,1
508,4120,259,142,287,520,2
510,2887,274,630,52,203,2
511,3774,273,459,279,473,2
512,3774,272,459,279,473,2
515,2766,338,437,203,472,1
516,2766,342,437,203,472,2
517,2768,330,438,203,472,1
519,3175,487,495,5,44,1
520,2793,331,388,133,492,1
521,3176,484,491,4,44,1
522,2930,455,626,99,258,1
523,3177,477,491,3,44,4
526,2236,326,697,260,451,3
528,2568,329,334,266,732,1
352,4014,317,130,228,554,1
530,3748,498,433,257,547,1
531,3748,496,433,257,547,1
533,2095,440,483,223,401,2
534,3748,495,432,257,547,1
535,3748,492,432,257,547,1
536,2835,338,637,201,254,2
537,3050,466,311,380,516,1
538,2836,329,651,10,195,2
539,2836,329,646,6,191,1
540,2541,330,674,95,207,1
541,3738,265,299,309,540,2
542,3738,267,299,309,540,2
543,3561,328,579,189,273,2
545,3072,467,540,19,319,1
549,3880,258,62,475,745,2
550,2910,448,164,126,99,1
551,2836,329,646,9,194,1
552,3730,456,648,112,323,1
553,2911,447,174,136,90,1
554,2838,261,600,11,195,2
480,4040,318,137,367,555,1
558,2745,334,525,204,378,1
559,2344,330,654,30,183,19
560,2745,335,525,204,378,1
561,2344,330,654,20,183,11
566,3730,455,648,112,323,1
567,2828,263,428,253,409,3
568,3381,263,346,12,145,2
572,2365,443,224,86,117,2
574,3381,264,349,8,141,2
575,2365,444,221,88,117,1
577,2745,333,537,195,387,1
4334,4088,253,136,330,513,1
582,3040,259,619,105,198,2
16441,3747,271,99,738,728,1
585,2776,270,570,244,552,2
592,2869,266,679,97,151,2
596,2943,334,173,276,467,1
597,2942,336,173,276,467,1
598,2942,336,173,275,467,1
14366,4036,317,142,325,558,1
600,3241,435,504,143,41,1
601,3503,457,390,193,173,1
602,2597,330,579,241,548,2
603,2943,332,173,275,467,2
604,2896,330,646,48,151,1
